customer_id,sex,customer_age,tenure
9798859,Male,44.0,93
11413563,Male,36.0,65
818195,Male,35.0,129
12049009,Male,33.0,58
10083045,Male,42.0,88
11248447,Male,37.0,68
819721,Male,46.0,129
4713723,Male,35.0,115
11141669,Male,36.0,69
10844015,Male,37.0,73
5012539,Male,35.0,114
11351893,Male,34.0,66
4815027,Male,33.0,115
11320883,Male,42.0,67
4306642,Male,33.0,117
10387447,Male,25.0,82
831271,Female,38.0,129
10373559,Male,35.0,82
11350661,Female,24.0,66
12030403,Male,28.0,58
11884019,Male,40.0,60
10991309,Male,28.0,71
10880401,Male,34.0,73
11328737,Female,41.0,66
10395444,Male,29.0,81
12282545,Male,36.0,56
593411,Male,37.0,130
844249,Male,36.0,129
12417929,Female,35.0,54
10284169,Male,41.0,84
11073237,Male,28.0,70
11158301,Male,41.0,69
10189011,Female,39.0,86
10205839,Female,34.0,86
9485175,Female,31.0,96
5267955,Female,38.0,113
9421181,Male,29.0,97
10862663,Male,28.0,73
10176271,Female,43.0,86
4754393,Male,35.0,115
8904609,Male,37.0,100
11158413,Male,28.0,69
10055269,Male,124.0,88
11769275,Male,30.0,61
11474477,Male,34.0,64
8015317,Male,31.0,105
10597419,Male,34.0,77
10717273,Male,27.0,75
8209943,Male,29.0,104
12150957,Male,26.0,57
10905489,Male,31.0,72
10599729,Female,30.0,77
10597671,Male,31.0,77
860990,Female,38.0,129
11622037,Female,34.0,63
8768879,Male,37.0,101
8686965,Male,38.0,101
12324641,Male,33.0,55
4327911,Male,29.0,117
4690133,Female,32.0,115
12278147,Male,42.0,56
11896087,Male,35.0,60
9585247,Male,30.0,95
4291119,Male,40.0,117
12389433,Male,35.0,54
12180511,Female,34.0,57
11009271,Male,121.0,71
11887183,Male,34.0,60
10054681,Male,29.0,88
12163949,Male,31.0,57
9920547,Male,25.0,91
11247145,Male,29.0,68
4172693,Female,47.0,117
4228777,Female,34.0,117
12086053,Male,35.0,58
10906945,Male,43.0,72
11958233,Male,25.0,59
11489583,Male,26.0,64
11082519,Female,32.0,70
10314675,Male,35.0,83
11781455,Male,29.0,61
9312625,Male,36.0,97
5296431,Male,36.0,113
11084409,Female,47.0,70
11380033,Male,35.0,66
11344473,Female,37.0,66
4835963,Male,31.0,114
10925873,Male,18.0,72
11039245,Male,30.0,71
12270531,Male,34.0,56
4935693,Male,41.0,114
9998695,Male,34.0,89
11226271,Male,35.0,68
11214021,Male,41.0,69
12216155,Male,34.0,56
11076569,Male,33.0,70
12030263,Male,26.0,58
9127153,Female,46.0,99
1052163,Male,46.0,127
8873795,Female,42.0,100
9588622,Male,32.0,95
10999638,Male,42.0,71
4290055,Male,31.0,117
11448465,Male,50.0,64
10718246,Male,36.0,75
5315275,Male,33.0,113
8445465,Male,29.0,103
11866519,Female,26.0,60
9403541,Female,28.0,97
10335899,Male,42.0,83
875329,Male,48.0,129
4763465,Female,44.0,115
8486555,Female,36.0,103
9500953,Male,55.0,96
5043090,Male,31.0,114
247695,Male,43.0,130
11758257,Male,35.0,61
9716497,Male,25.0,94
12185131,Male,38.0,57
4348197,Male,32.0,117
4811849,Male,50.0,115
851739,Male,40.0,129
9837877,Male,28.0,93
10065251,Male,38.0,88
8463917,Male,37.0,103
4219047,Male,54.0,117
11149075,Male,45.0,69
9170307,Female,36.0,98
9519279,Male,53.0,96
8238671,Male,32.0,104
12230629,Male,29.0,56
9468137,Male,49.0,96
11107901,Male,47.0,70
10686795,Male,39.0,75
12233823,Male,46.0,56
4327841,Male,32.0,117
11498179,Male,46.0,64
11290769,Male,34.0,67
11709621,Female,58.0,62
1077559,Male,44.0,127
10387724,Male,37.0,82
8926995,Male,41.0,100
1101723,Male,31.0,127
869421,Female,39.0,129
4340231,Female,32.0,117
5309731,Male,28.0,113
10673747,Male,33.0,76
551355,Male,40.0,130
10095813,Male,31.0,88
9290183,Male,33.0,98
4664499,Male,35.0,115
11136517,Male,29.0,70
825111,Male,49.0,129
9177805,Male,45.0,98
10108945,Male,42.0,88
12114907,Male,45.0,57
8644391,Male,43.0,102
8172059,Male,42.0,104
9221863,Female,44.0,98
8134763,Female,30.0,104
10728179,Male,35.0,75
8181525,Male,31.0,104
8977465,Male,41.0,99
4171055,Male,38.0,117
10121204,Male,32.0,87
11346531,Female,39.0,66
845229,Male,72.0,129
268289,Male,39.0,130
10029579,Male,38.0,89
828364,Male,47.0,129
27867,Male,38.0,131
10129007,Male,33.0,87
25012,Male,48.0,131
11451181,Male,40.0,64
10606589,Male,35.0,77
10704295,Male,50.0,75
12066075,Male,32.0,58
5299539,Male,37.0,113
12389167,Female,54.0,54
9826621,Male,28.0,93
4874051,Male,75.0,114
8898393,Male,34.0,100
5283775,Male,37.0,113
10314339,Male,32.0,83
7913045,Male,29.0,105
4355858,Female,46.0,117
11042017,Male,28.0,71
4187435,Female,31.0,117
10676477,Male,35.0,76
9976659,Male,44.0,90
11533263,Male,35.0,64
8343811,Male,42.0,103
1059135,Male,36.0,127
10592477,Male,31.0,77
8053591,Male,39.0,105
11880211,Male,27.0,60
7884767,Female,39.0,105
10582173,Male,50.0,77
11702448,Male,32.0,62
11899223,Female,28.0,60
9824073,Male,28.0,93
11100831,Male,31.0,70
10290665,Female,29.0,84
10406851,Male,30.0,81
12342673,Male,123.0,55
1053101,Male,123.0,127
12310053,Male,123.0,55
10412087,Male,123.0,81
11413493,Male,123.0,65
1095255,Female,123.0,127
10829329,Male,123.0,73
11479707,Male,123.0,64
10781729,Female,123.0,74
10917431,Male,123.0,72
12434905,Female,123.0,53
11800187,Male,123.0,61
8503677,Male,123.0,102
1082739,Female,123.0,127
11626839,Male,123.0,62
874020,Female,123.0,129
7870625,Male,123.0,105
10488093,Male,48.0,79
876645,Male,46.0,129
11220181,Male,38.0,68
4698255,Male,36.0,115
11788007,Male,34.0,61
10642121,Male,30.0,76
4335667,Male,31.0,117
11435333,Male,44.0,65
94857,Male,50.0,131
8833545,Male,28.0,100
12088195,Male,52.0,58
10420081,Male,45.0,81
4368931,Male,86.0,117
