customer_id,sex,customer_age,tenure
9798859,male,44,93
11413563,male,36,65
818195,male,35,129
12049009,male,33,58
10083045,male,42,88
11248447,male,37,68
819721,male,46,129
4713723,male,35,115
11141669,male,36,69
10844015,male,37,73
5012539,male,35,114
11351893,male,34,66
4815027,male,33,115
11320883,male,42,67
4306642,male,33,117
10387447,male,25,82
831271,female,38,129
10373559,male,35,82
11350661,female,24,66
12030403,male,28,58
11884019,male,40,60
10991309,male,28,71
10880401,male,34,73
11328737,female,41,66
10395444,male,29,81
12282545,male,36,56
593411,male,37,130
844249,male,36,129
12417929,female,35,54
10284169,male,41,84
11073237,male,28,70
11158301,male,41,69
10189011,female,39,86
10205839,female,34,86
9485175,female,31,96
5267955,female,38,113
9421181,male,29,97
10862663,male,28,73
10176271,female,43,86
4754393,male,35,115
8904609,male,37,100
11158413,male,28,69
10055269,male,31,88
11769275,male,30,61
11474477,male,34,64
8015317,male,31,105
10597419,male,34,77
10717273,male,27,75
8209943,male,29,104
12150957,male,26,57
10905489,male,31,72
10599729,female,30,77
10597671,male,31,77
860990,female,38,129
11622037,female,34,63
8768879,male,37,101
8686965,male,38,101
12324641,male,33,55
4327911,male,29,117
4690133,female,32,115
12278147,male,42,56
11896087,male,35,60
9585247,male,30,95
4291119,male,40,117
12389433,male,35,54
12180511,female,34,57
11009271,male,31,71
11887183,male,34,60
10054681,male,29,88
12163949,male,31,57
9920547,male,25,91
11247145,male,29,68
4172693,female,47,117
4228777,female,34,117
12086053,male,35,58
10906945,male,43,72
11958233,male,25,59
11489583,male,26,64
11082519,female,32,70
10314675,male,35,83
11781455,male,29,61
9312625,male,36,97
5296431,male,36,113
11084409,female,47,70
11380033,male,35,66
11344473,female,37,66
4835963,male,31,114
10925873,male,18,72
11039245,male,30,71
12270531,male,34,56
4935693,male,41,114
9998695,male,34,89
11226271,male,35,68
11214021,male,41,69
12216155,male,34,56
11076569,male,33,70
12030263,male,26,58
9127153,female,46,99
1052163,male,46,127
8873795,female,42,100
9588622,male,32,95
10999638,male,42,71
4290055,male,31,117
11448465,male,50,64
10718246,male,36,75
5315275,male,33,113
8445465,male,29,103
11866519,female,26,60
9403541,female,28,97
10335899,male,42,83
875329,male,48,129
4763465,female,44,115
8486555,female,36,103
9500953,male,55,96
5043090,male,31,114
247695,male,43,130
11758257,male,35,61
9716497,male,25,94
12185131,male,38,57
4348197,male,32,117
4811849,male,50,115
851739,male,40,129
9837877,male,28,93
10065251,male,38,88
8463917,male,37,103
4219047,male,54,117
11149075,male,45,69
9170307,female,36,98
9519279,male,53,96
8238671,male,32,104
12230629,male,29,56
9468137,male,49,96
11107901,male,47,70
10686795,male,39,75
12233823,male,46,56
4327841,male,32,117
11498179,male,46,64
11290769,male,34,67
11709621,female,58,62
1077559,male,44,127
10387724,male,37,82
8926995,male,41,100
1101723,male,31,127
869421,female,39,129
4340231,female,32,117
5309731,male,28,113
10673747,male,33,76
551355,male,40,130
10095813,male,31,88
9290183,male,33,98
4664499,male,35,115
11136517,male,29,70
825111,male,49,129
9177805,male,45,98
10108945,male,42,88
12114907,male,45,57
8644391,male,43,102
8172059,male,42,104
9221863,female,44,98
8134763,female,30,104
10728179,male,35,75
8181525,male,31,104
8977465,male,41,99
4171055,male,38,117
10121204,male,32,87
11346531,female,39,66
845229,male,72,129
268289,male,39,130
10029579,male,38,89
828364,male,47,129
27867,male,38,131
10129007,male,33,87
25012,male,48,131
11451181,male,40,64
10606589,male,35,77
10704295,male,50,75
12066075,male,32,58
5299539,male,37,113
12389167,female,54,54
9826621,male,28,93
4874051,male,75,114
8898393,male,34,100
5283775,male,37,113
10314339,male,32,83
7913045,male,29,105
4355858,female,46,117
11042017,male,28,71
4187435,female,31,117
10676477,male,35,76
9976659,male,44,90
11533263,male,35,64
8343811,male,42,103
1059135,male,36,127
10592477,male,31,77
8053591,male,39,105
11880211,male,27,60
7884767,female,39,105
10582173,male,50,77
11702448,male,32,62
11899223,female,28,60
9824073,male,28,93
11100831,male,31,70
10290665,female,29,84
10406851,male,30,81
12342673,male,31,55
1053101,male,31,127
12310053,male,31,55
10412087,male,31,81
