base_price,discount_percentage,quantity,manufacturer,tax_amount,product_id,category,sku,taxless_price,unit_discount_amount,min_price,_id,discount_amount,created_on,product_name,price,taxful_price,base_unit_price
11.99,0,1,Elitelligence,0,41475073,Men's Clothing,ZO0549605496,11.99,0.0,6.35,sold_product_716616_6283,0.0,2016-12-10 02:11:02,Basic T-shirt - dark blue/white,11.99,11.99,11.99
24.99,0,1,Oceanavigations,0,43279538,Men's Clothing,ZO0299602996,24.99,0.0,11.75,sold_product_584677_19400,0.0,2016-12-26 09:28:48,Sweatshirt - grey multicolor,24.99,24.99,24.99
24.99,0,1,Champion Arts,0,31715598,Women's Clothing,ZO0489604896,24.99,0.0,11.75,sold_product_580088_11238,0.0,2016-12-23 01:33:36,Denim dress - black denim,24.99,24.99,24.99
28.99,0,1,Pyramidustries,0,47880260,Women's Clothing,ZO0185501855,28.99,0.0,15.65,sold_product_584021_20149,0.0,2016-12-25 21:59:02,Shorts - black,28.99,28.99,28.99
99.99,0,1,Low Tide Media,0,44747002,Women's Shoes,ZO0374603746,99.99,0.0,46.01,sold_product_563119_22794,0.0,2016-12-10 09:51:50,Boots - Midnight Blue,99.99,99.99,99.99
99.99,0,1,Oceanavigations,0,33739394,Women's Clothing,ZO0272202722,99.99,0.0,53.99,sold_product_591989_23386,0.0,2016-12-31 21:51:50,Short coat - white/black,99.99,99.99,99.99
74.99,0,1,Primemaster,0,46000191,Women's Shoes,ZO0360303603,74.99,0.0,34.5,sold_product_584093_12304,0.0,2016-12-25 22:58:05,High heeled sandals - argento,74.99,74.99,74.99
99.99,0,1,Oceanavigations,0,46881033,Women's Clothing,ZO0272002720,99.99,0.0,47.01,sold_product_584093_19587,0.0,2016-12-25 22:58:05,Classic coat - black,99.99,99.99,99.99
59.99,0,1,Elitelligence,0,44752779,Men's Clothing,ZO0542505425,59.99,0.0,28.2,sold_product_558456_11262,0.0,2016-12-06 22:36:29,Winter jacket - black,59.99,59.99,59.99
20.99,0,1,Elitelligence,0,41882886,Men's Accessories,ZO0601306013,20.99,0.0,10.7,sold_product_574916_15713,0.0,2016-12-19 03:48:58,Watch - green,20.99,20.99,20.99
59.99,0,1,Low Tide Media,0,8670770,Women's Shoes,ZO0376303763,59.99,0.0,31.79,sold_product_574586_5419,0.0,2016-12-18 21:44:38,Winter boots - brown,59.99,59.99,59.99
11.99,0,1,Pyramidustries,0,33914921,Women's Clothing,ZO0212402124,11.99,0.0,6.47,sold_product_574586_19325,0.0,2016-12-18 21:44:38,Shorts - dark blue/pink/dark green,11.99,11.99,11.99
20.99,0,1,Low Tide Media,0,46026447,Men's Clothing,ZO0417504175,20.99,0.0,9.87,sold_product_565855_19919,0.0,2016-12-12 09:27:22,Shirt - dark blue white,20.99,20.99,20.99
24.99,0,1,Elitelligence,0,3632762,Men's Clothing,ZO0535205352,24.99,0.0,12.49,sold_product_577120_24502,0.0,2016-12-20 19:49:26,Slim fit jeans - raw blue,24.99,24.99,24.99
28.99,0,1,Low Tide Media,0,33218001,Men's Clothing,ZO0423104231,28.99,0.0,14.78,sold_product_554937_11751,0.0,2016-12-04 08:41:17,Shorts - beige,28.99,28.99,28.99
41.99,0,1,Oceanavigations,0,5941180,Men's Accessories,ZO0314203142,41.99,0.0,20.58,sold_product_566734_13452,0.0,2016-12-13 01:01:55,Weekend bag - black,41.99,41.99,41.99
59.99,0,1,Low Tide Media,0,34631629,Men's Shoes,ZO0394403944,59.99,0.0,30.01,sold_product_717206_22434,0.0,2016-12-12 22:26:24,Casual lace-ups - cognac,59.99,59.99,59.99
7.99,0,1,Elitelligence,0,46675683,Men's Clothing,ZO0561805618,7.99,0.0,3.76,sold_product_723055_7059,0.0,2016-12-26 02:19:41,Print T-shirt - off white/green,7.99,7.99,7.99
8.99,0,1,Pyramidustries,0,33276794,Women's Accessories,ZO0186801868,8.99,0.0,4.14,sold_product_727462_12012,0.0,2016-12-18 00:59:02,Mittens - grey,8.99,8.99,8.99
20.99,0,1,Tigress Enterprises,0,7445901,Women's Clothing,ZO0074100741,20.99,0.0,9.66,sold_product_727462_16471,0.0,2016-12-18 00:59:02,Vest - black/Chocolate,20.99,20.99,20.99
