base_price,discount_percentage,quantity,manufacturer,tax_amount,product_id,category,sku,taxless_price,unit_discount_amount,min_price,_id,discount_amount,created_on,product_name,price,taxful_price,base_unit_price
11.99,0,1,Elitelligence,0,6283,Men's Clothing,ZO0549605496,11.99,0,6.35,sold_product_716616_6283,0,2016-12-10T02:11:02+00:00,Basic T-shirt - dark blue/white,11.99,11.99,11.99
24.99,0,1,Oceanavigations,0,19400,Men's Clothing,ZO0299602996,24.99,0,11.75,sold_product_584677_19400,0,2016-12-26T09:28:48+00:00,Sweatshirt - grey multicolor,24.99,24.99,24.99
24.99,0,1,Champion Arts,0,11238,Women's Clothing,ZO0489604896,24.99,0,11.75,sold_product_580088_11238,0,2016-12-23T01:33:36+00:00,Denim dress - black denim,24.99,24.99,24.99
28.99,0,1,Pyramidustries,0,20149,Women's Clothing,ZO0185501855,28.99,0,15.65,sold_product_584021_20149,0,2016-12-25T21:59:02+00:00,Shorts - black,28.99,28.99,28.99
99.99,0,1,Low Tide Media,0,22794,Women's Shoes,ZO0374603746,99.99,0,46.01,sold_product_563119_22794,0,2016-12-10T09:51:50+00:00,Boots - Midnight Blue,99.99,99.99,99.99
99.99,0,1,Oceanavigations,0,23386,Women's Clothing,ZO0272202722,99.99,0,53.99,sold_product_591989_23386,0,2016-12-31T21:51:50+00:00,Short coat - white/black,99.99,99.99,99.99
74.99,0,1,Primemaster,0,12304,Women's Shoes,ZO0360303603,74.99,0,34.5,sold_product_584093_12304,0,2016-12-25T22:58:05+00:00,High heeled sandals - argento,74.99,74.99,74.99
99.99,0,1,Oceanavigations,0,19587,Women's Clothing,ZO0272002720,99.99,0,47.01,sold_product_584093_19587,0,2016-12-25T22:58:05+00:00,Classic coat - black,99.99,99.99,99.99
59.99,0,1,Elitelligence,0,11262,Men's Clothing,ZO0542505425,59.99,0,28.2,sold_product_558456_11262,0,2016-12-06T22:36:29+00:00,Winter jacket - black,59.99,59.99,59.99
20.99,0,1,Elitelligence,0,15713,Men's Accessories,ZO0601306013,20.99,0,10.7,sold_product_574916_15713,0,2016-12-19T03:48:58+00:00,Watch - green,20.99,20.99,20.99
59.99,0,1,Low Tide Media,0,5419,Women's Shoes,ZO0376303763,59.99,0,31.79,sold_product_574586_5419,0,2016-12-18T21:44:38+00:00,Winter boots - brown,59.99,59.99,59.99
11.99,0,1,Pyramidustries,0,19325,Women's Clothing,ZO0212402124,11.99,0,6.47,sold_product_574586_19325,0,2016-12-18T21:44:38+00:00,Shorts - dark blue/pink/dark green,11.99,11.99,11.99
20.99,0,1,Low Tide Media,0,19919,Men's Clothing,ZO0417504175,20.99,0,9.87,sold_product_565855_19919,0,2016-12-12T09:27:22+00:00,Shirt - dark blue white,20.99,20.99,20.99
24.99,0,1,Elitelligence,0,24502,Men's Clothing,ZO0535205352,24.99,0,12.49,sold_product_577120_24502,0,2016-12-20T19:49:26+00:00,Slim fit jeans - raw blue,24.99,24.99,24.99
28.99,0,1,Low Tide Media,0,11751,Men's Clothing,ZO0423104231,28.99,0,14.78,sold_product_554937_11751,0,2016-12-04T08:41:17+00:00,Shorts - beige,28.99,28.99,28.99
41.99,0,1,Oceanavigations,0,13452,Men's Accessories,ZO0314203142,41.99,0,20.58,sold_product_566734_13452,0,2016-12-13T01:01:55+00:00,Weekend bag - black,41.99,41.99,41.99
59.99,0,1,Low Tide Media,0,22434,Men's Shoes,ZO0394403944,59.99,0,30.01,sold_product_717206_22434,0,2016-12-12T22:26:24+00:00,Casual lace-ups - cognac,59.99,59.99,59.99
7.99,0,1,Elitelligence,0,7059,Men's Clothing,ZO0561805618,7.99,0,3.76,sold_product_723055_7059,0,2016-12-26T02:19:41+00:00,Print T-shirt - off white/green,7.99,7.99,7.99
8.99,0,1,Pyramidustries,0,12012,Women's Accessories,ZO0186801868,8.99,0,4.14,sold_product_727462_12012,0,2016-12-18T00:59:02+00:00,Mittens - grey,8.99,8.99,8.99
20.99,0,1,Tigress Enterprises,0,16471,Women's Clothing,ZO0074100741,20.99,0,9.66,sold_product_727462_16471,0,2016-12-18T00:59:02+00:00,Vest - black/Chocolate,20.99,20.99,20.99
16.99,0,1,Pyramidustries active,0,10554,Women's Clothing,ZO0223202232,16.99,0,7.82,sold_product_585880_10554,0,2016-12-27T07:24:58+00:00,Tracksuit bottoms - Pale Violet Red,16.99,16.99,16.99
41.99,0,1,Oceanavigations,0,22882,Women's Clothing,ZO0267602676,41.99,0,23.09,sold_product_727462_22882,0,2016-12-18T00:59:02+00:00,Cardigan - black,41.99,41.99,41.99
74.99,0,1,Oceanavigations,0,22880,Women's Shoes,ZO0249902499,74.99,0,35.25,sold_product_727269_22880,0,2016-12-26T03:41:46+00:00,Boots - black,74.99,74.99,74.99
32.99,0,1,Tigress Enterprises,0,12484,Women's Clothing,ZO0068400684,32.99,0,17.48,sold_product_727269_12484,0,2016-12-26T03:41:46+00:00,Cardigan - black/white,32.99,32.99,32.99
13.99,0,1,Champion Arts,0,21362,Women's Clothing,ZO0494704947,13.99,0,6.58,sold_product_727269_21362,0,2016-12-26T03:41:46+00:00,Long sleeved top - blue,13.99,13.99,13.99
49.99,0,1,Pyramidustries,0,13854,Women's Shoes,ZO0143401434,49.99,0,25.49,sold_product_551542_13854,0,2016-12-01T20:35:31+00:00,Lace-up boots - black,49.99,49.99,49.99
28.99,0,1,Tigress Enterprises,0,18383,Women's Accessories,ZO0089100891,28.99,0,13.05,sold_product_727381_18383,0,2016-12-19T10:46:34+00:00,Handbag - taupe/black/pink,28.99,28.99,28.99
11.99,0,1,Pyramidustries,0,16651,Women's Clothing,ZO0157601576,11.99,0,6.11,sold_product_584723_16651,0,2016-12-26T10:24:58+00:00,Vest - white,11.99,11.99,11.99
36.99,0,1,Tigress Enterprises,0,13090,Women's Clothing,ZO0035300353,36.99,0,20.34,sold_product_727381_13090,0,2016-12-19T10:46:34+00:00,Summer dress - black,36.99,36.99,36.99
64.99,0,1,Oceanavigations,0,7438,Women's Shoes,ZO0251402514,64.99,0,34.44,sold_product_727381_7438,0,2016-12-19T10:46:34+00:00,Trainers - Midnight Blue,64.99,64.99,64.99
17.99,0,1,Angeldale,0,19655,Men's Accessories,ZO0700707007,17.99,0,8.28,sold_product_557816_19655,0,2016-12-06T12:08:38+00:00,Belt - black,17.99,17.99,17.99
10.99,0,1,Low Tide Media,0,12500,Men's Accessories,ZO0459704597,10.99,0,5.06,sold_product_585985_12500,0,2016-12-27T09:47:31+00:00,Gloves - dark grey multicolor/bordeaux,10.99,10.99,10.99
16.99,0,1,Oceanavigations,0,17739,Men's Clothing,ZO0293702937,16.99,0,8.83,sold_product_718424_17739,0,2016-12-27T13:10:34+00:00,Long sleeved top - khaki,16.99,16.99,16.99
22.99,0,1,Elitelligence,0,23793,Men's Clothing,ZO0592705927,22.99,0,11.04,sold_product_554901_23793,0,2016-12-04T08:00:58+00:00,Hoodie - mottled light grey,22.99,22.99,22.99
32.99,0,1,Low Tide Media,0,18185,Men's Accessories,ZO0464804648,32.99,0,17.48,sold_product_722229_18185,0,2016-12-26T10:00:29+00:00,Weekend bag - brown/brown,32.99,32.99,32.99
32.99,0,1,Microlutions,0,23557,Men's Clothing,ZO0122401224,32.99,0,15.51,sold_product_720666_23557,0,2016-12-28T14:15:22+00:00,Jumper - beige,32.99,32.99,32.99
41.99,0,1,Low Tide Media,0,18002,Men's Shoes,ZO0397103971,41.99,0,21.41,sold_product_591976_18002,0,2016-12-31T21:41:46+00:00,Boots - brown,41.99,41.99,41.99
16.99,0,1,Elitelligence,0,16950,Men's Clothing,ZO0565705657,16.99,0,9.34,sold_product_720666_16950,0,2016-12-28T14:15:22+00:00,Long sleeved top - Medium Slate Blue,16.99,16.99,16.99
28.99,0,1,Elitelligence,0,13695,Men's Clothing,ZO0590205902,28.99,0,14.21,sold_product_715061_13695,0,2016-12-19T19:59:31+00:00,Sweatshirt - white,28.99,28.99,28.99
199.99,0,1,Oceanavigations,0,16955,Men's Clothing,ZO0291402914,199.99,0,92.01,sold_product_562149_16955,0,2016-12-09T16:24:58+00:00,Classic coat - navy,199.99,199.99,199.99
24.99,0,1,Oceanavigations,0,16663,Men's Clothing,ZO0297002970,24.99,0,12.25,sold_product_715061_16663,0,2016-12-19T19:59:31+00:00,Jumper - dark grey multicolor,24.99,24.99,24.99
12.99,0,1,Low Tide Media,0,14513,Men's Clothing,ZO0476504765,12.99,0,7.14,sold_product_715061_14513,0,2016-12-19T19:59:31+00:00,3 PACK - Shorts - Blue Violety/navy/grey,12.99,12.99,12.99
32.99,0,1,Microlutions,0,20018,Men's Clothing,ZO0125301253,32.99,0,16.17,sold_product_554099_20018,0,2016-12-03T18:00:00+00:00,Sweatshirt - Medium Spring Green,32.99,32.99,32.99
24.99,0,1,Elitelligence,0,19674,Men's Shoes,ZO0507105071,24.99,0,11.75,sold_product_578916_19674,0,2016-12-22T04:48:00+00:00,Trainers - brown,24.99,24.99,24.99
74.99,0,1,Low Tide Media,0,15667,Men's Clothing,ZO0428704287,74.99,0,33.75,sold_product_574079_15667,0,2016-12-18T12:37:26+00:00,Summer jacket - dark blue,74.99,74.99,74.99
41.99,0,1,Oceanavigations,0,12699,Women's Accessories,ZO0320003200,41.99,0,22.67,sold_product_720445_12699,0,2016-12-12T10:17:46+00:00,Weekend bag - dessert,41.99,41.99,41.99
79.99,0,1,Angeldale,0,23975,Men's Shoes,ZO0687606876,79.99,0,42.39,sold_product_716724_23975,0,2016-12-31T08:28:19+00:00,Winter boots - cognac,79.99,79.99,79.99
59.99,0,1,Oceanavigations,0,6338,Men's Clothing,ZO0290502905,59.99,0,32.99,sold_product_716724_6338,0,2016-12-31T08:28:19+00:00,Trenchcoat - black,59.99,59.99,59.99
21.99,0,1,Microlutions,0,14116,Women's Accessories,ZO0126701267,21.99,0,10.34,sold_product_716724_14116,0,2016-12-31T08:28:19+00:00,Watch - black,21.99,21.99,21.99
11.99,0,1,Oceanavigations,0,15290,Men's Accessories,ZO0308503085,11.99,0,6.11,sold_product_575035_15290,0,2016-12-19T05:48:29+00:00,Hat - light grey multicolor,11.99,11.99,11.99
16.99,0,1,Elitelligence,0,2887,Men's Clothing,ZO0580905809,16.99,0,8.33,sold_product_552271_2887,0,2016-12-02T09:31:41+00:00,Sweatshirt - oliv,16.99,16.99,16.99
24.99,0,1,Elitelligence,0,22606,Men's Clothing,ZO0595205952,24.99,0,13.24,sold_product_585636_22606,0,2016-12-27T03:04:19+00:00,Sweatshirt - mottled grey,24.99,24.99,24.99
14.99,0,1,Elitelligence,0,13586,Men's Clothing,ZO0527605276,14.99,0,7.64,sold_product_578355_13586,0,2016-12-21T18:23:02+00:00,Tracksuit bottoms - dark grey multicolor,14.99,14.99,14.99
24.99,0,1,Low Tide Media,0,19930,Men's Clothing,ZO0457304573,24.99,0,11.5,sold_product_576663_19930,0,2016-12-20T11:32:38+00:00,Tracksuit top - dark blue multicolor,24.99,24.99,24.99
12.99,0,1,Elitelligence,0,17804,Men's Clothing,ZO0562905629,12.99,0,6.5,sold_product_561878_17804,0,2016-12-09T11:15:22+00:00,Long sleeved top - mottled dark grey,12.99,12.99,12.99
59.99,0,1,Gnomehouse,0,22364,Women's Clothing,ZO0353103531,59.99,0,31.79,sold_product_576696_22364,0,2016-12-20T12:15:50+00:00,Cardigan - black,59.99,59.99,59.99
14.99,0,1,Tigress Enterprises,0,16364,Women's Accessories,ZO0079500795,14.99,0,7.79,sold_product_576473_16364,0,2016-12-20T08:16:48+00:00,Watch - black,14.99,14.99,14.99
10.99,0,1,Pyramidustries,0,12978,Women's Accessories,ZO0192701927,10.99,0,5.17,sold_product_586220_12978,0,2016-12-27T13:58:05+00:00,Scarf - offwhite/black,10.99,10.99,10.99
49.99,0,1,Angeldale,0,24406,Women's Shoes,ZO0670806708,49.99,0,23.01,sold_product_575420_24406,0,2016-12-19T12:47:31+00:00,High heeled sandals - Midnight Blue,49.99,49.99,49.99
41.99,0,1,Pyramidustries,0,19663,Women's Shoes,ZO0141301413,41.99,0,21.41,sold_product_579953_19663,0,2016-12-22T23:29:46+00:00,Cowboy/Biker boots - black,41.99,41.99,41.99
13.99,0,1,Pyramidustries,0,15679,Women's Accessories,ZO0209102091,13.99,0,7.41,sold_product_579953_15679,0,2016-12-22T23:29:46+00:00,Clutch - black,13.99,13.99,13.99
49.99,0,1,Gnomehouse,0,18807,Women's Shoes,ZO0325203252,49.99,0,25.99,sold_product_579996_18807,0,2016-12-23T00:18:43+00:00,Ankle boots - black,49.99,49.99,49.99
13.99,0,1,Spherecords Maternity,0,16407,Women's Clothing,ZO0705207052,13.99,0,7.01,sold_product_557193_16407,0,2016-12-06T01:06:14+00:00,Maxi skirt - mid grey multicolor,13.99,13.99,13.99
10.99,0,1,Low Tide Media,0,23440,Men's Clothing,ZO0439104391,10.99,0,5.71,sold_product_715219_23440,0,2016-12-28T11:11:02+00:00,Print T-shirt - grey multicolor,10.99,10.99,10.99
16.99,0,1,Elitelligence,0,11895,Men's Accessories,ZO0600606006,16.99,0,9.01,sold_product_580047_11895,0,2016-12-23T00:59:02+00:00,Watch - black,16.99,16.99,16.99
24.99,0,1,Spherecords,0,24526,Women's Clothing,ZO0655206552,24.99,0,11.75,sold_product_580088_24526,0,2016-12-23T01:33:36+00:00,Cardigan - black,24.99,24.99,24.99
